k,km_inertia,km_silhouette,km_calinski,km_davies,sc_silhouette,ag_silhouette
2,49290368.0,0.2587721347808838,1707.8520183825624,1.5076509623579588,-0.00042611666140146554,0.20401985943317413
3,44725936.0,0.15109297633171082,1168.181455915092,1.9970631958758487,-0.025402430444955826,0.1380854845046997
4,42499536.0,0.13798296451568604,897.1816270453577,2.0623087650045595,-0.06068390980362892,0.13306042551994324
5,40904364.0,0.09240207821130753,742.3838463747466,2.303164597798687,-0.031816959381103516,0.12224970757961273
6,39809480.0,0.08600787073373795,634.5919552497088,2.3370288028229695,-0.0625075027346611,0.057020533829927444
7,39049804.0,0.0642818883061409,553.4241355609582,2.4961755406580717,-0.05607319623231888,0.06014839559793472
8,38469628.0,0.06377794593572617,490.99706325146116,2.4356607069990606,-0.15547384321689606,0.06196664646267891
